Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRuleFilter,1,0,7,7,34,9,0,1,0.2857142857142857,4,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LifecycleRuleFilter.java,25
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResult,2,0,5,5,24,5,0,0,0.0,4,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListAllMyBucketsResult.java,23
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResult,9,0,10,10,53,10,0,0,0.0,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListBucketResult.java,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2,11,0,12,12,63,12,0,0,0.0,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListBucketResultV2.java,30
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResult,11,0,1,1,29,1,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListMultipartUploadsResult.java,25
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResult,8,0,1,1,19,1,0,0,0.0,2,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListPartsResult.java,24
S3Mock,com.adobe.testing.s3mock.dto,LocationConstraint,1,0,1,1,9,1,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LocationConstraint.java,24
S3Mock,com.adobe.testing.s3mock.dto,Mode,1,0,0,0,11,0,0,0,-1.0,8,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Mode.java,22
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,6,0,7,7,36,7,0,0,0.2857142857142857,4,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\MultipartUpload.java,23
S3Mock,com.adobe.testing.s3mock.dto,NoncurrentVersionExpiration,2,0,8,8,38,10,1,0,0.25,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\NoncurrentVersionExpiration.java,24
S3Mock,com.adobe.testing.s3mock.dto,NoncurrentVersionTransition,1,0,7,7,37,10,0,1,0.2857142857142857,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\NoncurrentVersionTransition.java,24
S3Mock,com.adobe.testing.s3mock.dto,ObjectKey,1,0,2,2,18,3,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ObjectKey.java,21
