Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,listV1,13,2,1,154,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,listV2,8,1,1,190,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,prepareS3Client,6,1,0,30,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsLimitedAmountOfObjectsBasedOnMaxKeys,6,1,0,39,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysIsDefault,6,1,0,49,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysEqualToAmountOfObjects,6,1,0,58,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysMoreThanAmountOfObjects,6,1,0,68,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsEmptyListIfMaxKeysIsZero,6,1,0,78,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysIsNegative,6,1,0,88,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1PaginationIT,prepareS3Client,6,1,0,30,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1PaginationIT,shouldTruncateAndReturnNextMarker,12,1,0,39,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldPassUserMetadataWithMultipartUploads,13,1,0,66,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldInitiateMultipartAndRetrieveParts,18,1,0,108,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldListMultipartUploads,13,1,0,149,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldListMultipartUploadsWithPrefix,10,1,0,173,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldListMultipartUploadsWithBucket,14,1,0,194,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldAbortMultipartUpload,15,1,0,227,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldAdherePartsInCompleteMultipartUploadRequest,22,1,0,263,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldListPartsOnCompleteOrAbort,14,1,0,322,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldCopyPartsAndComplete,31,2,0,360,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldCopyObjectPart,25,1,0,432,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldThrowNoSuchKeyOnCopyObjectPartForNonExistingKey,20,1,0,476,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,uploadPart,3,1,4,510,0,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,createUploadPartRequest,3,1,2,519,0,,
