Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock.dto,Tag,getValue,3,1,0,55,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,setKey,3,1,1,59,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,setValue,3,1,1,63,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,equals,10,3,1,67,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,hashCode,3,1,0,80,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tagging,Tagging,2,1,0,37,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tagging,Tagging,3,1,1,41,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tagging,setTagSet,3,1,1,45,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tagging,getTagSet,3,1,0,49,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadResultTest,testSerialization,4,1,1,26,1,,
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadTest,testDeserialization,7,1,1,28,1,,
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResultTest,testSerialization,4,1,1,26,1,,
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResultTest,testSerialization,4,1,1,28,1,,
S3Mock,com.adobe.testing.s3mock.dto,CopySourceTest,fromPrefixedCopySourceString,5,1,0,35,1,,
S3Mock,com.adobe.testing.s3mock.dto,CopySourceTest,fromCopySourceString,5,1,0,43,1,,
S3Mock,com.adobe.testing.s3mock.dto,CopySourceTest,invalidCopySource,4,1,0,51,1,,
S3Mock,com.adobe.testing.s3mock.dto,CopySourceTest,nullCopySource,4,1,0,57,1,,
S3Mock,com.adobe.testing.s3mock.dto,DeleteResultTest,testSerialization,12,2,1,26,1,,
S3Mock,com.adobe.testing.s3mock.dto,DeleteTest,testDeserialization,11,1,1,28,1,,
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,serializeAndAssert,6,1,2,52,0,com.adobe.testing.s3mock.dto.DtoTestUtil,com.adobe.testing.s3mock.dto.DtoTestUtil
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,deserialize,5,1,2,67,0,com.adobe.testing.s3mock.dto.DtoTestUtil,com.adobe.testing.s3mock.dto.DtoTestUtil
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,getExpected,4,1,1,76,0,com.adobe.testing.s3mock.dto.DtoTestUtil,com.adobe.testing.s3mock.dto.DtoTestUtil
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,getFile,9,1,1,84,0,,
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponseTest,testSerialization,8,1,1,26,1,,
S3Mock,com.adobe.testing.s3mock.dto,EtagSerializerTest,before,5,1,0,37,0,,
S3Mock,com.adobe.testing.s3mock.dto,EtagSerializerTest,testSerializeEtag,6,1,0,44,1,,
S3Mock,com.adobe.testing.s3mock.dto,EtagSerializerTest,testSerializeQuotedEtag,6,1,0,52,1,,
S3Mock,com.adobe.testing.s3mock.dto,InitiateMultipartUploadResultTest,testSerialization,4,1,1,26,1,,
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResultTest,testSerialization,4,1,1,30,1,,
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResultTest,createBuckets,8,2,1,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,testSerialization,4,1,1,30,1,,
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,createBucketContents,8,2,1,39,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,testSerialization,4,1,1,30,1,,
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,createBucketContents,8,2,1,40,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,testSerialization,4,1,1,30,1,,
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,createMultipartUploads,8,2,1,41,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResultTest,testSerialization,4,1,1,30,1,,
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResultTest,createParts,12,2,1,39,0,,
S3Mock,com.adobe.testing.s3mock.dto,TaggingTest,testSerialization,5,1,1,30,1,,
S3Mock,com.adobe.testing.s3mock.dto,TaggingTest,testDeserialization,10,1,1,37,1,,
S3Mock,com.adobe.testing.s3mock.dto,TaggingTest,createTag,6,1,1,51,0,,
