Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,BucketContents,2,1,0,49,0,,
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,BucketContents,8,1,6,56,0,,
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,getKey,3,1,0,80,0,,
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,getLastModified,3,1,0,85,0,,
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,getEtag,3,1,0,90,0,,
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,getSize,3,1,0,95,0,,
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,getStorageClass,3,1,0,100,0,,
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,getOwner,3,1,0,105,0,,
S3Mock,com.adobe.testing.s3mock.domain,Buckets,getBuckets,3,1,0,34,0,,
S3Mock,com.adobe.testing.s3mock.domain,Buckets,setBuckets,3,1,1,38,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,FileStore,4,1,1,98,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,createRootFolder,12,2,1,108,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,createBucket,6,1,1,122,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,listBuckets,4,1,0,139,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,getBucket,5,1,1,150,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,findBucketsByFilter,12,2,1,165,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,bucketFromPath,12,1,1,186,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3Object,3,1,6,202,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3Object,3,1,7,228,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3Object,26,1,9,257,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3ObjectWithKMSEncryption,3,1,7,322,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3ObjectWithKMSEncryption,3,1,8,349,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,wrapStream,10,2,2,379,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,setObjectTags,7,1,3,391,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,getBucketOrCreateNewOne,7,2,1,413,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,createObjectRootFolder,7,1,2,430,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,inputStreamToFile,38,5,2,446,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,normalizePrefix,8,2,2,492,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,getS3Object,17,2,2,511,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,getS3Objects,14,3,2,540,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3Object,3,1,4,580,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3Object,3,1,5,601,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3ObjectEncrypted,3,1,6,626,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3ObjectEncrypted,12,3,7,650,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,doesBucketExist,3,1,1,695,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,deleteObject,10,2,2,708,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,deleteBucket,10,2,1,728,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,prepareMultipartUpload,8,2,8,747,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,prepareMultipartUpload,3,1,7,778,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,listMultipartUploads,3,1,0,799,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,abortMultipartUpload,16,1,3,808,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putPart,9,1,6,836,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,completeMultipartUpload,3,1,4,869,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,completeMultipartUpload,42,3,6,885,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,listAndSortPartsInFromDirectory,5,1,1,959,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,concatenateMd5sForAllParts,9,2,2,967,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,getMultipartUploadParts,11,2,3,989,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,retrieveFile,3,1,3,1010,0,,
S3Mock,com.adobe.testing.s3mock.domain,FileStore,arrangeSeparateParts,17,2,4,1014,0,com.adobe.testing.s3mock.domain.FileStore,com.adobe.testing.s3mock.domain.FileStore
S3Mock,com.adobe.testing.s3mock.domain,FileStore,calculateHashOfFilePart,10,1,1,1041,0,,
